x,y
-8.36983,37.10356
-8.36792,37.10336
-8.36776,37.10349
-8.36762,37.1043
-8.36371,37.102
-8.36241,37.1019
-8.3614,37.10132
-8.36191,37.10158
-8.36142,37.10168
-8.36082,37.10156
-8.36084,37.10168
-8.3608,37.10179
-8.36107,37.1021
-8.36096,37.10211
-8.36084,37.10194
-8.36254,37.10232
-8.36145,37.10239
-8.704,39.71658
-8.70515,39.71711
-8.70453,39.71729
-8.7052,39.71887
-8.70559,39.72072
-8.70566,39.72077
-8.70529,39.71985
-8.70482,39.71986
-8.70478,39.72027
-8.70425,39.72001
-8.70478,39.72081
-8.70382,39.71878
-8.70322,39.72065
-8.70226,39.72023
-8.70124,39.72081
-8.70865,39.72399
-8.70696,39.72443
-8.7068,39.7245
-8.70671,39.72508
-8.70526,39.72218
-8.70558,39.72301
-8.70482,39.72256
-8.70303,39.72309
-8.70335,39.72319
-8.70347,39.72376
-8.70434,39.72502
-8.70657,39.7252
-8.70628,39.72638
-8.70594,39.72655
-8.73033,39.73345
-8.73014,39.73416
-8.72914,39.73374
-8.72923,39.73709
-8.72632,39.7332
-8.72632,39.73379
-8.72554,39.7337
-8.72564,39.73422
-8.72486,39.73471
-8.72858,39.73605
-8.72623,39.73562
-8.72853,39.73661
-8.72824,39.7368
-8.72588,39.73536
-8.72507,39.73494
-8.72518,39.73527
-8.72436,39.73533
-8.7243,39.73546
-8.72336,39.73518
-8.72431,39.73583
-8.72416,39.73572
-8.72509,39.73641
-8.73087,39.73807
-8.72896,39.73795
-8.723,39.73564
-8.72297,39.73606
-8.70713,39.72832
-8.7072,39.72893
-8.70708,39.72956
-8.70662,39.72823
-8.70176,39.72696
-8.70227,39.72725
-8.70236,39.72749
-8.70212,39.7277
-8.70295,39.72887
-8.7029,39.729
-8.70303,39.72912
-8.7022,39.72828
-8.70436,39.73121
-8.70422,39.7311
-8.70317,39.73027
-8.70444,39.73221
-8.70491,39.7329
-8.70366,39.7344
-8.70319,39.7342
-8.70314,39.73503
-8.70308,39.73516
-8.71267,39.75254
-8.71348,39.75355
-8.71309,39.75389
-8.71445,39.75552
-8.71401,39.75541
-8.7146,39.75675
-8.71339,39.75563
-8.71316,39.75545
-8.71285,39.7559
-8.71336,39.75647
-8.71278,39.75612
-8.71249,39.75635
-8.71507,39.75849
-8.71427,39.75725
-8.71328,39.75678
-8.71259,39.75745
-8.71308,39.75764
-8.71271,39.75757
-8.71219,39.75756
-8.7122,39.75829
-8.71235,39.75941
-8.71173,39.75225
-8.71156,39.75325
-8.71209,39.75371
-8.7097,39.75369
-8.70928,39.75335
-8.71107,39.75442
-8.71058,39.75426
-8.71049,39.75514
-8.71108,39.75562
-8.7113,39.75638
-8.71081,39.75614
-8.71043,39.75608
-8.70993,39.75665
-8.70842,39.7564
-8.70833,39.75676
-8.70747,39.75665
-8.71126,39.75697
-8.70969,39.75696
-8.70799,39.75683
-8.70764,39.75731
-8.70673,39.75718
-8.71785,39.7608
-8.71655,39.76043
-8.71231,39.76025
-8.71536,39.76336
-8.71508,39.7634
-8.70026,39.75599
-8.70029,39.75837
-8.70115,39.75892
-8.71851,39.83508
-8.71837,39.83519
-8.71652,39.83741
-8.71154,39.84237
-8.71189,39.84289
-8.71048,39.84318
-8.7082,39.84405
-8.70791,39.84424
-8.7078,39.84498
-8.70801,39.84505
-8.70764,39.84512
-8.70711,39.84547
-8.70648,39.84514
-8.70625,39.84524
-8.706,39.84543
-8.70636,39.84616
-8.70404,39.84762
-8.70221,39.85448
-9.41001,38.90661
-9.41016,38.907
-9.40994,38.90756
-9.40988,38.90791
-9.40687,38.90372
-9.40519,38.90299
-9.407,38.90449
-9.40926,38.90627
-9.40896,38.90603
-9.40896,38.90652
-9.40884,38.90645
-9.40849,38.90647
-9.40718,38.90668
-9.40929,38.90755
-9.40947,38.9078
-9.40968,38.90807
-9.40904,38.90758
-9.40747,38.90751
-9.40724,38.90748
-9.40757,38.90781
-9.40703,38.90782
